Value,Lower Bound,Upper Bound,Standard Deviation,coefficient
0,NaN,NaN,NaN,p00
0.682163287400459,0.599709918628793,0.764616656172124,0.0420680452916662,p10
2.76799236587972,2.40173275825419,3.13425197350524,0.186867146747715,p01
-0.00240703152594006,-0.00282031187071576,-0.00199375118116435,0.000210857318763117,p20
-0.0138365046937311,-0.0168494458617077,-0.0108235635257545,0.00153721488162072,p11
-0.0436630624138615,-0.0555562783610646,-0.0317698464666584,0.00606796732000157,p02
3.83690116722677e-06,3.02610254267601e-06,4.64769979177753e-06,4.13672767627937e-07,p30
3.3179982223765e-05,2.37875337448014e-05,4.25724307027286e-05,4.79206555049162e-06,p21
0.000154645459467597,0.000111839605723552,0.000197451313211643,2.18397212979823e-05,p12
0.000293214076267498,0.000151586609181221,0.000434841543353774,7.22589117787126e-05,p03
-2.97802095176534e-09,-3.68506687806512e-09,-2.27097502546555e-09,3.6073771749989e-10,p40
-2.65978412969261e-08,-3.69329962454257e-08,-1.62626863484265e-08,5.27303823903041e-09,p31
-2.81626821737776e-07,-3.62228836548071e-07,-2.01024806927481e-07,4.11234769440279e-08,p22
-5.66943004601995e-07,-8.07476753948357e-07,-3.26409255255633e-07,1.2272130068692e-07,p13
-1.00683303324201e-06,-1.72998977118215e-06,-2.83676295301872e-07,3.68957519357214e-07,p04
9.08108510421024e-13,6.77778836624951e-13,1.1384381842171e-12,1.17515139691874e-13,p50
6.68311226200666e-12,2.87194108036492e-12,1.04942834436484e-11,1.94447509267436e-12,p41
1.25371287108657e-10,8.26724480922153e-11,1.680701261251e-10,2.17851219471644e-11,p32
6.27081658081229e-10,4.21565686803872e-10,8.32597629358586e-10,1.04855087386407e-10,p23
6.01900821785907e-10,1.32532783209241e-10,1.07126886036257e-09,2.39473489069728e-10,p14
1.50632153720914e-09,1.6870651853349e-10,2.84393655588478e-09,6.82456642181453e-10,p05
